id,routing_line_id/id,account_analytic_id/id,account_id/id
arl_assets_asset_aa_rm1,arl_assets_asset,aa_rm1,account_1141010
arl_revenue_services_aa_8-6,arl_revenue_services,aa_8-6,account_4111010
arl_revenue_services_aa_8-7,arl_revenue_services,aa_8-7,account_4111010
arl_revenue_services_aa_31-2,arl_revenue_services,aa_31-2,account_4111010
arl_revenue_services_aa_31-5,arl_revenue_services,aa_31-5,account_4111010
arl_revenue_services_aa_31-7,arl_revenue_services,aa_31-7,account_4111010
arl_revenue_services_aa_31-8,arl_revenue_services,aa_31-8,account_4111010
arl_revenue_services_aa_31-9,arl_revenue_services,aa_31-9,account_4111010
arl_revenue_services_aa_43-1,arl_revenue_services,aa_43-1,account_4111010
arl_revenue_services_aa_43-2,arl_revenue_services,aa_43-2,account_4111010
arl_revenue_services_aa_44-1,arl_revenue_services,aa_44-1,account_4111010
arl_revenue_services_aa_34-3,arl_revenue_services,aa_34-3,account_4112110
arl_revenue_services_aa_40-1,arl_revenue_services,aa_40-1,account_4112110
arl_revenue_services_aa_41-2,arl_revenue_services,aa_41-2,account_4112110
arl_revenue_services_aa_106-1,arl_revenue_services,aa_106-1,account_4112110
arl_revenue_services_aa_108-1,arl_revenue_services,aa_108-1,account_4112110
arl_revenue_services_aa_950,arl_revenue_services,aa_950,account_4112210
arl_revenue_services_aa_960,arl_revenue_services,aa_960,account_4112210
arl_revenue_services_aa_970,arl_revenue_services,aa_970,account_4112210
arl_revenue_prod_sales_aa_31-8,arl_revenue_prod_sales,aa_31-8,account_4611010
arl_revenue_prod_sales_aa_43-1,arl_revenue_prod_sales,aa_43-1,account_4611010
arl_revenue_prod_sales_aa_43-2,arl_revenue_prod_sales,aa_43-2,account_4611010
arl_revenue_prod_sales_aa_106-1,arl_revenue_prod_sales,aa_106-1,account_4612110
arl_revenue_prod_sales_aa_108-1,arl_revenue_prod_sales,aa_108-1,account_4612110
arl_revenue_prod_sales_aa_950,arl_revenue_prod_sales,aa_950,account_4612210
arl_revenue_prod_sales_aa_960,arl_revenue_prod_sales,aa_960,account_4612210
arl_revenue_prod_sales_aa_970,arl_revenue_prod_sales,aa_970,account_4612210
arl_revenue_parts_sales_aa_00,arl_revenue_parts_sales,aa_00,account_4619110
arl_revenue_leases_aa_106-1,arl_revenue_leases,aa_106-1,account_4632110
arl_revenue_leases_aa_108-1,arl_revenue_leases,aa_108-1,account_4632110
arl_revenue_leases_aa_950,arl_revenue_leases,aa_950,account_4632210
arl_revenue_leases_aa_960,arl_revenue_leases,aa_960,account_4632210
arl_contract_labor_aa_8-6,arl_contract_labor,aa_8-6,account_5111110
arl_contract_labor_aa_8-7,arl_contract_labor,aa_8-7,account_5111110
arl_contract_labor_aa_31-2,arl_contract_labor,aa_31-2,account_5111110
arl_contract_labor_aa_31-5,arl_contract_labor,aa_31-5,account_5111110
arl_contract_labor_aa_31-7,arl_contract_labor,aa_31-7,account_5111110
arl_contract_labor_aa_31-7a,arl_contract_labor,aa_31-7a,account_5111110
arl_contract_labor_aa_31-7b,arl_contract_labor,aa_31-7b,account_5111110
arl_contract_labor_aa_31-7d,arl_contract_labor,aa_31-7d,account_5111110
arl_contract_labor_aa_31-7e,arl_contract_labor,aa_31-7e,account_5111110
arl_contract_labor_aa_31-8,arl_contract_labor,aa_31-8,account_5111110
arl_contract_labor_aa_31-9,arl_contract_labor,aa_31-9,account_5111110
arl_contract_labor_aa_31-9a,arl_contract_labor,aa_31-9a,account_5111110
arl_contract_labor_aa_31-9b,arl_contract_labor,aa_31-9b,account_5111110
arl_contract_labor_aa_31-9d,arl_contract_labor,aa_31-9d,account_5111110
arl_contract_labor_aa_31-9e,arl_contract_labor,aa_31-9e,account_5111110
arl_contract_labor_aa_43-1,arl_contract_labor,aa_43-1,account_5111110
arl_contract_labor_aa_43-2,arl_contract_labor,aa_43-2,account_5111110
arl_contract_labor_aa_44-1,arl_contract_labor,aa_44-1,account_5111110
arl_contract_mats_aa_8-6,arl_contract_mats,aa_8-6,account_5111210
arl_contract_mats_aa_8-7,arl_contract_mats,aa_8-7,account_5111210
arl_contract_mats_aa_31-2,arl_contract_mats,aa_31-2,account_5111210
arl_contract_mats_aa_31-5,arl_contract_mats,aa_31-5,account_5111210
arl_contract_mats_aa_31-7a2,arl_contract_mats,aa_31-7a2,account_5111210
arl_contract_mats_aa_31-7b2,arl_contract_mats,aa_31-7b2,account_5111210
arl_contract_mats_aa_31-7c,arl_contract_mats,aa_31-7c,account_5111210
arl_contract_mats_aa_31-7d2,arl_contract_mats,aa_31-7d2,account_5111210
arl_contract_mats_aa_31-8a,arl_contract_mats,aa_31-8a,account_5111210
arl_contract_mats_aa_31-8b,arl_contract_mats,aa_31-8b,account_5111210
arl_contract_mats_aa_31-8c,arl_contract_mats,aa_31-8c,account_5111210
arl_contract_mats_aa_31-8d,arl_contract_mats,aa_31-8d,account_5111210
arl_contract_mats_aa_31-9a2,arl_contract_mats,aa_31-9a2,account_5111210
arl_contract_mats_aa_31-9b2,arl_contract_mats,aa_31-9b2,account_5111210
arl_contract_mats_aa_31-9c,arl_contract_mats,aa_31-9c,account_5111210
arl_contract_mats_aa_31-9d,arl_contract_mats,aa_31-9d,account_5111210
arl_contract_mats_aa_43-1,arl_contract_mats,aa_43-1,account_5111210
arl_contract_mats_aa_43-2a,arl_contract_mats,aa_43-2a,account_5111210
arl_contract_mats_aa_43-2b,arl_contract_mats,aa_43-2b,account_5111210
arl_contract_mats_aa_43-2c,arl_contract_mats,aa_43-2c,account_5111210
arl_contract_mats_aa_44-1,arl_contract_mats,aa_44-1,account_5111210
arl_contract_travel_aa_8-6,arl_contract_travel,aa_8-6,account_5111311
arl_contract_travel_aa_8-7,arl_contract_travel,aa_8-7,account_5111311
arl_contract_travel_aa_31-2,arl_contract_travel,aa_31-2,account_5111311
arl_contract_travel_aa_31-5,arl_contract_travel,aa_31-5,account_5111311
arl_contract_travel_aa_31-7,arl_contract_travel,aa_31-7,account_5111311
arl_contract_travel_aa_31-7c2,arl_contract_travel,aa_31-7c2,account_5111311
arl_contract_travel_aa_31-7d2,arl_contract_travel,aa_31-7d2,account_5111311
arl_contract_travel_aa_31-8,arl_contract_travel,aa_31-8,account_5111311
arl_contract_travel_aa_31-9,arl_contract_travel,aa_31-9,account_5111311
arl_contract_travel_aa_31-9c2,arl_contract_travel,aa_31-9c2,account_5111311
arl_contract_travel_aa_31-9d,arl_contract_travel,aa_31-9d,account_5111311
arl_contract_travel_aa_43-1,arl_contract_travel,aa_43-1,account_5111311
arl_contract_travel_aa_43-2,arl_contract_travel,aa_43-2,account_5111311
arl_contract_travel_aa_44-1,arl_contract_travel,aa_44-1,account_5111311
arl_contract_travel_owner_aa_8-6,arl_contract_travel_owner,aa_8-6,account_5111315
arl_contract_travel_owner_aa_8-7,arl_contract_travel_owner,aa_8-7,account_5111315
arl_contract_travel_owner_aa_31-2,arl_contract_travel_owner,aa_31-2,account_5111315
arl_contract_travel_owner_aa_31-5,arl_contract_travel_owner,aa_31-5,account_5111315
arl_contract_travel_owner_aa_31-7,arl_contract_travel_owner,aa_31-7,account_5111315
arl_contract_travel_owner_aa_31-8,arl_contract_travel_owner,aa_31-8,account_5111315
arl_contract_travel_owner_aa_31-9,arl_contract_travel_owner,aa_31-9,account_5111315
arl_contract_travel_owner_aa_43-1,arl_contract_travel_owner,aa_43-1,account_5111315
arl_contract_travel_owner_aa_43-2,arl_contract_travel_owner,aa_43-2,account_5111315
arl_contract_travel_owner_aa_44-1,arl_contract_travel_owner,aa_44-1,account_5111315
arl_contract_subs_external_aa_8-6,arl_contract_subs_external,aa_8-6,account_5111411
arl_contract_subs_external_aa_8-7,arl_contract_subs_external,aa_8-7,account_5111411
arl_contract_subs_external_aa_31-2,arl_contract_subs_external,aa_31-2,account_5111411
arl_contract_subs_external_aa_31-5,arl_contract_subs_external,aa_31-5,account_5111411
arl_contract_subs_external_aa_31-7,arl_contract_subs_external,aa_31-7,account_5111411
arl_contract_subs_external_aa_31-7d2,arl_contract_subs_external,aa_31-7d2,account_5111411
arl_contract_subs_external_aa_31-8,arl_contract_subs_external,aa_31-8,account_5111411
arl_contract_subs_external_aa_31-9,arl_contract_subs_external,aa_31-9,account_5111411
arl_contract_subs_external_aa_31-9d,arl_contract_subs_external,aa_31-9d,account_5111411
arl_contract_subs_external_aa_43-1,arl_contract_subs_external,aa_43-1,account_5111411
arl_contract_subs_external_aa_43-2,arl_contract_subs_external,aa_43-2,account_5111411
arl_contract_subs_external_aa_44-1,arl_contract_subs_external,aa_44-1,account_5111411
arl_contract_subs_interco_aa_8-6,arl_contract_subs_interco,aa_8-6,account_5111416
arl_contract_subs_interco_aa_8-7,arl_contract_subs_interco,aa_8-7,account_5111416
arl_contract_subs_interco_aa_31-2,arl_contract_subs_interco,aa_31-2,account_5111416
arl_contract_subs_interco_aa_31-5,arl_contract_subs_interco,aa_31-5,account_5111416
arl_contract_subs_interco_aa_31-7,arl_contract_subs_interco,aa_31-7,account_5111416
arl_contract_subs_interco_aa_31-8,arl_contract_subs_interco,aa_31-8,account_5111416
arl_contract_subs_interco_aa_31-9,arl_contract_subs_interco,aa_31-9,account_5111416
arl_contract_subs_interco_aa_43-1,arl_contract_subs_interco,aa_43-1,account_5111416
arl_contract_subs_interco_aa_43-2,arl_contract_subs_interco,aa_43-2,account_5111416
arl_contract_subs_interco_aa_44-1,arl_contract_subs_interco,aa_44-1,account_5111416
arl_contract_other_aa_8-6,arl_contract_other,aa_8-6,account_5111710
